scope,rmse,mae,n_stations,n_rows
RandomForest — all stations,1.8885841900914844,0.8818279052581504,785,263760
RandomForest — SARIMA subset,7.449237435291399,2.5552926592106213,15,5040
SARIMA — SARIMA subset,8.121116918849538,3.0557273930105486,15,5040
