station_id,station_name,lat,lon,total_departures,total_arrivals,mean_departures,mean_arrivals,mean_net_flow,std_net_flow
1,"River Street , Clerkenwell",51.529163,-0.10997,1254,824,0.8293650793650794,0.544973544973545,0.2843915343915344,1.4501903479003637
2,"Phillimore Gardens, Kensington",51.499606,-0.197574,1735,1989,1.1474867724867726,1.3154761904761905,-0.167989417989418,1.8305682011334936
3,"Christopher Street, Liverpool Street",51.521283,-0.084605,3705,4345,2.4503968253968256,2.873677248677249,-0.42328042328042326,4.092017420687681
4,"St. Chad's Street, King's Cross",51.530059,-0.120973,1075,1597,0.7109788359788359,1.0562169312169312,-0.34523809523809523,2.1529512341747123
5,"Sedding Street, Sloane Square",51.49313,-0.156876,2502,3022,1.6547619047619047,1.9986772486772486,-0.3439153439153439,2.4874488406239426
6,"Broadcasting House, Marylebone",51.518117,-0.144228,1959,2177,1.2956349206349207,1.4398148148148149,-0.14417989417989419,2.497724812893843
7,"Charlbert Street, St. John's Wood",51.5343,-0.168074,820,632,0.5423280423280423,0.41798941798941797,0.12433862433862433,1.433416161439449
8,"Maida Vale, Maida Vale",51.529857,-0.183486,226,205,0.14947089947089948,0.13558201058201058,0.013888888888888888,0.5497778465569042
9,"New Globe Walk, Bankside",51.507385,-0.09644,1828,1921,1.208994708994709,1.2705026455026456,-0.061507936507936505,2.6716740689769134
10,"Park Street, Bankside",51.505974,-0.092754,977,1026,0.6461640211640212,0.6785714285714286,-0.032407407407407406,1.4564973525821387
11,"Brunswick Square, Bloomsbury",51.523951,-0.122502,2030,2094,1.3425925925925926,1.3849206349206349,-0.042328042328042326,1.801405989105469
12,"Malet Street, Bloomsbury",51.52168,-0.130431,4354,4536,2.8796296296296298,3.0,-0.12037037037037036,5.474088689804614
13,"Scala Street, Fitzrovia",51.519914,-0.136039,1354,1484,0.8955026455026455,0.9814814814814815,-0.08597883597883597,2.179080910470378
14,"Argyle Street, Kings Cross",51.529416,-0.123944,14439,14269,9.549603174603174,9.437169312169312,0.11243386243386243,34.85345026720283
15,"Great Russell Street, Bloomsbury",51.517727,-0.127854,2026,2095,1.33994708994709,1.3855820105820107,-0.04563492063492063,2.832151045347677
16,"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,2257,1957,1.4927248677248677,1.2943121693121693,0.1984126984126984,1.8541234548669134
17,"Hatton Wall, Holborn",51.521661,-0.109006,3012,3254,1.992063492063492,2.1521164021164023,-0.16005291005291006,3.697287108514077
18,"Drury Lane, Covent Garden",51.51477,-0.122219,3316,3464,2.193121693121693,2.291005291005291,-0.09788359788359788,3.1141436947201813
19,"Taviton Street, Bloomsbury",51.52505,-0.131161,1795,1964,1.187169312169312,1.2989417989417988,-0.11177248677248677,2.122039409923934
20,"Drummond Street , Euston",51.527326,-0.136052,2442,1915,1.6150793650793651,1.2665343915343916,0.34854497354497355,5.288457318227309
21,"Lansdowne Drive, Hackney Central",51.539834,-0.062806,654,493,0.43253968253968256,0.32605820105820105,0.10648148148148148,1.007534974581175
22,"Northington Street , Holborn",51.522264,-0.114079,2156,2252,1.4259259259259258,1.4894179894179893,-0.06349206349206349,2.629052261201283
23,"Red Lion Square, Holborn",51.519435,-0.119123,1320,1280,0.873015873015873,0.8465608465608465,0.026455026455026454,2.0802786109638034
24,"British Museum, Bloomsbury",51.51908,-0.124678,2544,2478,1.6825396825396826,1.6388888888888888,0.04365079365079365,3.1973598315694955
25,"Doric Way , Somers Town",51.528833,-0.13225,2795,2496,1.8485449735449735,1.6507936507936507,0.19775132275132276,4.221205830031898
26,"Ampton Street , Clerkenwell",51.52728,-0.118295,1499,1208,0.9914021164021164,0.798941798941799,0.19246031746031747,1.393706675582741
27,,,,2569,3071,1.6990740740740742,2.0310846560846563,-0.33201058201058203,5.015748242820923
